GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	comparison
RECQL4	HsaALTA1039223-1/2	chr8:144516245-144516413	0	chr8:144517050,144516245-144516413+144516661	Alt3	HeLa_TAF2	51.28	LOW	S1	BOTH
RECQL4	HsaALTA1039223-1/2	chr8:144516245-144516413	0	chr8:144517050,144516245-144516413+144516661	Alt3	HeLa_TAF2_A	28.01	N	S1	BOTH
RECQL4	HsaALTA1039223-1/2	chr8:144516245-144516413	0	chr8:144517050,144516245-144516413+144516661	Alt3	HeLa_TAF2_B	64.64	N	S1	BOTH
RECQL4	HsaALTA1039223-1/2	chr8:144516245-144516413	0	chr8:144517050,144516245-144516413+144516661	Alt3	HeLa_TAF2_C	60.13	VLOW	S1	BOTH
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_FRT	17.2	LOW	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_FRT_A	64.65	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_FRT_B	32.04	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_FRT_C	4.46	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_NLSTAF2dIDR	34.72	VLOW	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_NLSTAF2dIDR_A	36.26	VLOW	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_NLSTAF2dIDR_B	58.2	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_NLSTAF2dIDR_C	0	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_TAF2	36.88	LOW	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_TAF2_A	63.87	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_TAF2_B	34.55	N	S1	TAF2dIDR
MRPS18C	HsaALTA1040283-3/4	chr4:83460958-83461032	35	chr4:83456958,83460993+83460973+83460958+83460954-83461032	Alt3	HeLa_TAF2_C	31.22	N	S1	TAF2dIDR
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_FRT	0	LOW	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_FRT_A	0	N	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_FRT_B	0	N	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_FRT_C	0	N	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_NLSTAF2dIDR	12.28	OK	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_NLSTAF2dIDR_A	20.08	VLOW	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_NLSTAF2dIDR_B	0	N	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_NLSTAF2dIDR_C	11.86	VLOW	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_TAF2	8.02	LOW	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_TAF2_A	0	N	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_TAF2_B	0	N	S1	TAF2
ANKRD33B	HsaALTA1041349-2/2	chr5:10637958-10638168	70	chr5:10618462,10638028+10637958-10638168	Alt3	HeLa_TAF2_C	18.23	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_FRT	80	LOW	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_FRT_A	100	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_FRT_B	77.78	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_FRT_C	66.67	VLOW	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_NLSTAF2dIDR	79.59	OK	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_NLSTAF2dIDR_A	82.61	VLOW	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_NLSTAF2dIDR_B	64.29	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_NLSTAF2dIDR_C	90.91	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_TAF2	84.62	LOW	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_TAF2_A	92.31	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_TAF2_B	66.67	N	S1	TAF2
HECTD2	HsaALTA1042067-1/2	chr10:91496214-91496372	0	chr10:91493508,91496214+91496205-91496372	Alt3	HeLa_TAF2_C	85.71	N	S1	TAF2
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_FRT	86.21	LOW	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_FRT_A	100	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_FRT_B	91.67	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_FRT_C	72.73	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_NLSTAF2dIDR	57.89	LOW	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_NLSTAF2dIDR_A	50	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_NLSTAF2dIDR_B	61.54	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_NLSTAF2dIDR_C	61.54	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_TAF2	67.74	LOW	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_TAF2_A	80	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_TAF2_B	62.5	N	S1	TAF2dIDR
DUS2	HsaALTA1043383-1/2	chr16:68030757-68032273	0	chr16:68025494,68030757+68030753-68032273	Alt3	HeLa_TAF2_C	61.54	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_FRT	66.67	VLOW	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_FRT_A	25	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_FRT_B	80	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_FRT_C	75	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_NLSTAF2dIDR	44	LOW	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_NLSTAF2dIDR_A	60	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_NLSTAF2dIDR_B	25	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_NLSTAF2dIDR_C	50	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_TAF2	42.11	VLOW	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_TAF2_A	50	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_TAF2_B	66.67	N	S1	TAF2dIDR
ZNF30	HsaALTA0009786-1/3	chr19:34933628-34933723	0	chr19:34931993,34933628+34933625+34933611-34933723	Alt3	HeLa_TAF2_C	0	N	S1	TAF2dIDR
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_FRT	17.1	LOW	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_FRT_A	20	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_FRT_B	11.57	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_FRT_C	17.89	VLOW	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_NLSTAF2dIDR	33.68	LOW	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_NLSTAF2dIDR_A	15.66	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_NLSTAF2dIDR_B	50.41	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_NLSTAF2dIDR_C	33.33	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_TAF2	40.37	LOW	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_TAF2_A	50.48	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_TAF2_B	14.52	N	S1	TAF2
CNTROB	HsaALTA1045152-2/4	chr17:7932956-7933120	137	chr17:7932800,7933093+7932956+7932932+7932928-7933120	Alt3	HeLa_TAF2_C	50	N	S1	TAF2
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_FRT	79.39	VLOW	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_FRT_A	69.01	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_FRT_B	82.02	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_FRT_C	80.24	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_NLSTAF2dIDR	61.97	LOW	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_NLSTAF2dIDR_A	65.63	VLOW	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_NLSTAF2dIDR_B	83.33	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_NLSTAF2dIDR_C	46.4	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_TAF2	64.3	LOW	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_TAF2_A	66.78	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_TAF2_B	89.11	N	S1	TAF2dIDR
MIR4435-2HG	HsaALTA1046544-2/2	chr2:111208756-111208977	41	chr2:111233628,111208756-111208936+111208977	Alt3	HeLa_TAF2_C	28.57	N	S1	TAF2dIDR
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_FRT	11.74	LOW	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_FRT_A	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_FRT_B	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_FRT_C	19.93	VLOW	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_NLSTAF2dIDR	0	LOW	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_NLSTAF2dIDR_A	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_NLSTAF2dIDR_B	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_NLSTAF2dIDR_C	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_TAF2	0	LOW	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_TAF2_A	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_TAF2_B	0	N	S1	BOTH
BNC2	HsaALTA0000958-1/2	chr9:-16419643	0	chr9:16435555,-16419643+16419649	Alt3	HeLa_TAF2_C	0	N	S1	BOTH
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_FRT	67.86	LOW	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_FRT_A	61.54	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_FRT_B	80	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_FRT_C	70	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_NLSTAF2dIDR	61.29	LOW	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_NLSTAF2dIDR_A	73.33	VLOW	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_NLSTAF2dIDR_B	71.43	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_NLSTAF2dIDR_C	33.33	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_TAF2	34.38	LOW	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_TAF2_A	27.27	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_TAF2_B	45.45	N	S1	TAF2
CXorf23	HsaALTA1046919-2/2	chrX:19955391-19955566	60	chrX:19965044,19955391-19955506+19955566	Alt3	HeLa_TAF2_C	30	N	S1	TAF2
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_FRT	71.43	VLOW	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_FRT_A	66.67	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_FRT_B	75	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_FRT_C	66.67	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_NLSTAF2dIDR	57.14	LOW	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_NLSTAF2dIDR_A	37.5	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_NLSTAF2dIDR_B	63.64	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_NLSTAF2dIDR_C	66.67	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_TAF2	57.89	VLOW	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_TAF2_A	33.33	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_TAF2_B	63.64	N	S1	TAF2dIDR
RPS6KB2	HsaALTA0007398-2/2	chr11:67432353-67432492	3	chr11:67431515,67432356+67432353-67432492	Alt3	HeLa_TAF2_C	60	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_FRT	42.38	VLOW	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_FRT_A	61.45	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_FRT_B	34.69	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_FRT_C	41.46	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_NLSTAF2dIDR	24.8	LOW	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_NLSTAF2dIDR_A	24.64	VLOW	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_NLSTAF2dIDR_B	57.05	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_NLSTAF2dIDR_C	0	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_TAF2	30.3	LOW	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_TAF2_A	19.1	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_TAF2_B	43.15	N	S1	TAF2dIDR
LMNB2	HsaALTA1048109-1/2	chr19:2436839-2437722	0	chr19:2438163,2436839-2437722+2437796	Alt3	HeLa_TAF2_C	26.15	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_FRT	16.54	VLOW	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_FRT_A	0	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_FRT_B	30.48	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_FRT_C	0	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_NLSTAF2dIDR	3.98	LOW	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_NLSTAF2dIDR_A	0	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_NLSTAF2dIDR_B	12.41	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_NLSTAF2dIDR_C	0	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_TAF2	4.52	VLOW	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_TAF2_A	12.41	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_TAF2_B	0	N	S1	TAF2dIDR
CTD-2201E18.3	HsaALTA1048559-1/2	chr5:43067087-43067152	0	chr5:43067298,43067087-43067152+43067157	Alt3	HeLa_TAF2_C	0	N	S1	TAF2dIDR
UBE2H	HsaALTA0009229-1/2	chr7:129839225-129839275	0	chr7:129879568,129839225-129839275+129839335	Alt3	HeLa_FRT	32.33	LOW	S1	TAF2dIDR
UBE2H	HsaALTA0009229-1/2	chr7:129839225-129839275	0	chr7:129879568,129839225-129839275+129839335	Alt3	HeLa_FRT_A	28.57	N	S1	TAF2dIDR
UBE2H	HsaALTA0009229-1/2	chr7:129839225-129839275	0	chr7:129879568,129839225-129839275+129839335	Alt3	HeLa_FRT_B	35.84	N	S1	TAF2dIDR
UBE2H	HsaALTA0009229-1/2	chr7:129839225-129839275	0	chr7:129879568,129839225-129839275+129839335	Alt3	HeLa_FRT_C	30	N	S1	TAF2dIDR
UBE2H	HsaALTA0009229-1/2	chr7:129839225-129839275	0	chr7:129879568,129839225-129839275+129839335	Alt3	HeLa_NLSTAF2dIDR	11.35	OK	S1	TAF2dIDR
