GENE	EVENT	AS_TYPE	dPSI_SRRM2_HeLa	direction_SRRM2_HeLa
PTCH1	HsaEX0050752	Exon	-15.379999999999995	DOWN
MARK1	HsaEX6036864	Exon	-15.379999999999995	DOWN
CLP1	HsaINT1007869	Intron	-15.38	DOWN
ATP11A	HsaEX0006764	Exon	-15.380000000000003	DOWN
ABR	HsaINT0001900	Intron	-15.389999999999997	DOWN
AARS2	HsaEX0000164	Exon	-15.409999999999997	DOWN
ADCY3	HsaEX0002721	Exon	-15.409999999999997	DOWN
PICALM	HsaEX0047356	Exon	-15.420000000000002	DOWN
ZNF133	HsaINT0186197	Intron	-15.420000000000002	DOWN
TNIP1	HsaEX0066248	Exon	-15.430000000000007	DOWN
WDFY3	HsaEX0070909	Exon	-15.430000000000007	DOWN
TNRC6A	HsaEX0066367	Exon	-15.439999999999998	DOWN
RAD52	HsaEX0051924	Exon	-15.440000000000001	DOWN
NF2	HsaEX0042656	Exon	-15.440000000000005	DOWN
FAAP20	HsaEX0010338	Exon	-15.460000000000004	DOWN
RHBDD3	HsaINT0140347	Intron	-15.49	DOWN
SEC22C	HsaEX0056862	Exon	-15.490000000000002	DOWN
POLQ	HsaEX0049022	Exon	-15.510000000000005	DOWN
SDR39U1	HsaINT0146569	Intron	-15.530000000000001	DOWN
TMEM63B	HsaINT0169293	Intron	-15.54	DOWN
PEF1	HsaEX0046555	Exon	-15.549999999999997	DOWN
SSH1	HsaINT0159432	Intron	-15.549999999999999	DOWN
PPP1R16A	HsaEX6083019	Exon	-15.560000000000002	DOWN
PAPLN	HsaEX0045416	Exon	-15.579999999999998	DOWN
PEX16	HsaEX0046647	Exon	-15.579999999999998	DOWN
ATXN2	HsaEX0007260	Exon	-15.599999999999998	DOWN
MROH1	HsaEX1024204	Exon	-15.6	DOWN
FSTL3	HsaEX0026510	Exon	-15.629999999999999	DOWN
ATG13	HsaEX0006558	Exon	-15.64	DOWN
MINDY3	HsaEX0024276	Exon	-15.64	DOWN
FANCA	HsaINT1013334	Intron	-15.65	DOWN
NA	HsaEX1000645	Exon	-15.659999999999997	DOWN
KCNC4	HsaINT0084262	Intron	-15.659999999999997	DOWN
RAPGEF2	HsaINT0137343	Intron	-15.68	DOWN
SLCO4A1	HsaEX0060118	Exon	-15.739999999999995	DOWN
ZCCHC11	HsaEX0072323	Exon	-15.75	DOWN
OXR1	HsaINT0119176	Intron	-15.79	DOWN
PHYHD1	HsaINT1026855	Intron	-15.790000000000001	DOWN
ARFGAP1	HsaEX0005312	Exon	-15.790000000000006	DOWN
DAPK2	HsaEX0018512	Exon	-15.790000000000006	DOWN
SUPT20H	HsaEX0024471	Exon	-15.790000000000006	DOWN
TYK2	HsaEX0068513	Exon	-15.790000000000006	DOWN
XPO6	HsaEX0071827	Exon	-15.810000000000002	DOWN
DOLPP1	HsaEX0020700	Exon	-15.870000000000005	DOWN
WDFY3	HsaEX0070915	Exon	-15.879999999999995	DOWN
SYT7	HsaEX0063286	Exon	-15.89	DOWN
DGKE	HsaINT0047258	Intron	-15.89	DOWN
MOK	HsaEX0051995	Exon	-15.920000000000002	DOWN
SRCAP	HsaEX0061652	Exon	-15.920000000000002	DOWN
ULK1	HsaINT0177530	Intron	-15.930000000000001	DOWN
RBM26	HsaEX0052674	Exon	-15.949999999999996	DOWN
SEMA3F	HsaEX0057076	Exon	-15.959999999999994	DOWN
DHTKD1	HsaEX0019557	Exon	-15.969999999999999	DOWN
CWF19L1	HsaEX0018093	Exon	-15.980000000000004	DOWN
MACF1	HsaEX0037166	Exon	-15.990000000000002	DOWN
PCSK7	HsaEX0046074	Exon	-16	DOWN
RNF43	HsaEX6023788	Exon	-16	DOWN
FANCB	HsaEX0024744	Exon	-16.009999999999998	DOWN
RHPN1	HsaEX0053546	Exon	-16.010000000000005	DOWN
SYCP2	HsaEX0063095	Exon	-16.010000000000005	DOWN
CHKB	HsaEX0015201	Exon	-16.049999999999997	DOWN
BCL2L12	HsaEX0007893	Exon	-16.050000000000004	DOWN
RCCD1	HsaEX0052887	Exon	-16.050000000000004	DOWN
NFAT5	HsaEX0042688	Exon	-16.11	DOWN
CEP78	HsaEX0014862	Exon	-16.129999999999995	DOWN
PPM1M	HsaINT0130487	Intron	-16.13	DOWN
BCL2L11	HsaEX0007886	Exon	-16.14	DOWN
BCAR1	HsaEX0007813	Exon	-16.180000000000007	DOWN
ZNF462	HsaEX1045131	Exon	-16.21	DOWN
METTL6	HsaEX0038932	Exon	-16.210000000000008	DOWN
ULK4	HsaEX0069304	Exon	-16.210000000000008	DOWN
DEPDC4	HsaEX0019246	Exon	-16.22	DOWN
SEC24A	HsaEX0056898	Exon	-16.22	DOWN
RSRP1	HsaEX0010319	Exon	-16.220000000000006	DOWN
ACAD10	HsaEX0001728	Exon	-16.27	DOWN
AGER	HsaINT1003178	Intron	-16.270000000000003	DOWN
INSIG2	HsaINT0081099	Intron	-16.28	DOWN
OBSCN	HsaEX0044517	Exon	-16.290000000000006	DOWN
TPRA1	HsaEX0028375	Exon	-16.299999999999997	DOWN
FBRSL1	HsaEX0025139	Exon	-16.320000000000007	DOWN
ADGRL1	HsaEX0036226	Exon	-16.33	DOWN
PPARD	HsaEX0049291	Exon	-16.33	DOWN
ISL2	HsaEX0032262	Exon	-16.370000000000005	DOWN
HSPBAP1	HsaEX0030638	Exon	-16.41000000000001	DOWN
TTLL7	HsaEX0068126	Exon	-16.42	DOWN
MCRIP2	HsaEX0024349	Exon	-16.45	DOWN
YIPF2	HsaEX0071990	Exon	-16.450000000000003	DOWN
BAZ1A	HsaEX0007704	Exon	-16.509999999999998	DOWN
RP11-37B2.1	HsaEX0054710	Exon	-16.520000000000003	DOWN
OGDH	HsaEX0044667	Exon	-16.560000000000002	DOWN
LRTOMT	HsaEX1022374	Exon	-16.569999999999993	DOWN
BRD7	HsaEX1005850	Exon	-16.57	DOWN
VPS8	HsaINT0181002	Intron	-16.57	DOWN
WDR59	HsaEX0071226	Exon	-16.570000000000007	DOWN
FLVCR2	HsaEX0025995	Exon	-16.590000000000003	DOWN
HERC6	HsaEX0029808	Exon	-16.599999999999994	DOWN
EGFL7	HsaEX0021811	Exon	-16.650000000000006	DOWN
TSTD2	HsaEX0067719	Exon	-16.66	DOWN
DNMT3A	HsaEX0020478	Exon	-16.660000000000004	DOWN
SGK3	HsaEX0057809	Exon	-16.67	DOWN
RILP	HsaEX6019823	Exon	-16.67	DOWN
PLAGL2	HsaINT0126512	Intron	-16.67	DOWN
TAB1	HsaINT0163180	Intron	-16.67	DOWN
HDAC7	HsaINT0074689	Intron	-16.689999999999998	DOWN
MFF	HsaEX0038966	Exon	-16.700000000000003	DOWN
TBC1D25	HsaINT0164157	Intron	-16.700000000000003	DOWN
PPCDC	HsaEX0049316	Exon	-16.710000000000008	DOWN
FBXL19	HsaEX0025167	Exon	-16.72	DOWN
KATNB1	HsaEX6044057	Exon	-16.769999999999996	DOWN
TSC22D2	HsaEX0067522	Exon	-16.770000000000003	DOWN
TPK1	HsaEX0066679	Exon	-16.789999999999992	DOWN
ABLIM1	HsaEX1001470	Exon	-16.810000000000002	DOWN
FAM193B	HsaEX0024330	Exon	-16.84	DOWN
BANP	HsaEX0007619	Exon	-16.86	DOWN
NCOA2	HsaEX0042060	Exon	-16.870000000000005	DOWN
STXBP6	HsaEX0062788	Exon	-16.870000000000005	DOWN
JPX	HsaEX0042169	Exon	-16.900000000000006	DOWN
GLMP	HsaEX0010333	Exon	-16.909999999999997	DOWN
LZTS2	HsaEX0037131	Exon	-16.919999999999987	DOWN
GTPBP1	HsaEX0029021	Exon	-16.919999999999995	DOWN
POLL	HsaEX0048976	Exon	-16.92	DOWN
STARD4	HsaEX0062279	Exon	-16.979999999999997	DOWN
SETD7	HsaEX7002871	Exon	-16.980000000000004	DOWN
LRRC23	HsaEX0036543	Exon	-17.020000000000003	DOWN
CCDC134	HsaEX0013000	Exon	-17.03	DOWN
STYX	HsaEX0062805	Exon	-17.040000000000006	DOWN
ABCA7	HsaINT0000820	Intron	-17.040000000000006	DOWN
VKORC1	HsaEX0070384	Exon	-17.049999999999997	DOWN
RABGAP1L	HsaEX0051812	Exon	-17.069999999999993	DOWN
NLRC5	HsaINT0113966	Intron	-17.07	DOWN
PHYKPL	HsaEX0003214	Exon	-17.089999999999996	DOWN
ZNF821	HsaEX0074408	Exon	-17.090000000000003	DOWN
GPSM1	HsaEX0028463	Exon	-17.14	DOWN
NEDD1	HsaEX0042402	Exon	-17.22	DOWN
KCNN4	HsaEX0033082	Exon	-17.239999999999995	DOWN
LINC01278	HsaEX0054680	Exon	-17.25	DOWN
FLAD1	HsaEX0025883	Exon	-17.279999999999994	DOWN
TXNL4B	HsaEX0068484	Exon	-17.3	DOWN
NAB1	HsaEX6017484	Exon	-17.310000000000002	DOWN
ZNF573	HsaINT0187711	Intron	-17.34	DOWN
ACP2	HsaEX0002010	Exon	-17.39	DOWN
PUM1	HsaEX0051270	Exon	-17.39	DOWN
CLCN5	HsaEX1008891	Exon	-17.39	DOWN
KDM6B	HsaEX1018563	Exon	-17.39	DOWN
AP4M1	HsaEX0005007	Exon	-17.4	DOWN
METTL5	HsaINT0102224	Intron	-17.400000000000002	DOWN
FLCN	HsaEX0025897	Exon	-17.400000000000006	DOWN
NADK	HsaEX0041557	Exon	-17.409999999999997	DOWN
PLSCR1	HsaEX0048500	Exon	-17.409999999999997	DOWN
TBX1	HsaEX6025802	Exon	-17.439999999999998	DOWN
MITD1	HsaINT0103188	Intron	-17.45	DOWN
NFKBIZ	HsaINT0113200	Intron	-17.48	DOWN
MARK2	HsaEX0037915	Exon	-17.509999999999998	DOWN
ZNF621	HsaEX0074075	Exon	-17.540000000000006	DOWN
GTF2H3	HsaEX0028952	Exon	-17.560000000000002	DOWN
FBXL6	HsaINT0062713	Intron	-17.58	DOWN
PNKP	HsaINT0128417	Intron	-17.590000000000003	DOWN
BPHL	HsaINT0018282	Intron	-17.6	DOWN
CYP2R1	HsaEX0018292	Exon	-17.61	DOWN
PPARA	HsaEX0049278	Exon	-17.650000000000002	DOWN
PHLPP1	HsaEX0047203	Exon	-17.650000000000006	DOWN
PPP2R1B	HsaEX0049652	Exon	-17.650000000000006	DOWN
VPS13A	HsaEX0070432	Exon	-17.650000000000006	DOWN
CUL7	HsaINT1010357	Intron	-17.669999999999998	DOWN
DNAJC27	HsaEX0020343	Exon	-17.74	DOWN
MAPK12	HsaEX0037742	Exon	-17.740000000000002	DOWN
RP11-706O15.3	HsaEX1034557	Exon	-17.75	DOWN
FAM189B	HsaEX0024291	Exon	-17.75999999999999	DOWN
AIP	HsaEX0003326	Exon	-17.770000000000003	DOWN
CNTRL	HsaEX0014671	Exon	-17.810000000000002	DOWN
FAM160A1	HsaEX0024078	Exon	-17.83	DOWN
HAUS5	HsaEX0029292	Exon	-17.83	DOWN
ZC3HC1	HsaEX0072303	Exon	-17.83	DOWN
TPRA1	HsaINT0171498	Intron	-17.840000000000003	DOWN
PRPF40B	HsaEX0050379	Exon	-17.85000000000001	DOWN
LTBP3	HsaINT0097595	Intron	-17.88	DOWN
C10orf76	HsaEX0008907	Exon	-17.939999999999998	DOWN
CCDC134	HsaEX0012999	Exon	-17.940000000000012	DOWN
MAVS	HsaEX0038055	Exon	-17.959999999999994	DOWN
IQGAP3	HsaINT0081866	Intron	-17.96	DOWN
JARID2	HsaEX0032727	Exon	-18.03	DOWN
ZBTB48	HsaINT0184670	Intron	-18.049999999999997	DOWN
EEF1B2	HsaEX1012693	Exon	-18.050000000000004	DOWN
MTG1	HsaEX0040479	Exon	-18.060000000000002	DOWN
PEF1	HsaEX0046559	Exon	-18.08	DOWN
HELZ	HsaEX0029677	Exon	-18.180000000000007	DOWN
OSGEPL1	HsaEX0044977	Exon	-18.180000000000007	DOWN
USP4	HsaEX0069863	Exon	-18.180000000000007	DOWN
ENKD1	HsaEX0009630	Exon	-18.21	DOWN
PLEKHG4	HsaINT0127330	Intron	-18.240000000000002	DOWN
ABCC1	HsaEX0000400	Exon	-18.269999999999996	DOWN
ECHDC2	HsaEX0021502	Exon	-18.28	DOWN
TRMT10B	HsaEX0053294	Exon	-18.289999999999992	DOWN
FAM193B	HsaEX0024335	Exon	-18.310000000000002	DOWN
OCRL	HsaEX0044588	Exon	-18.310000000000002	DOWN
CDCA3	HsaEX0014134	Exon	-18.33	DOWN
CDIPT	HsaEX0014253	Exon	-18.400000000000006	DOWN
HPD	HsaINT1015874	Intron	-18.43	DOWN
ZNF227	HsaEX0073207	Exon	-18.460000000000008	DOWN
PHYKPL	HsaEX0003211	Exon	-18.479999999999997	DOWN
C6orf163	HsaINT0024602	Intron	-18.52	DOWN
LRRC23	HsaINT0096746	Intron	-18.52	DOWN
AP4M1	HsaEX0005009	Exon	-18.53	DOWN
TYMP	HsaEX0068524	Exon	-18.559999999999988	DOWN
RPUSD4	HsaINT0143251	Intron	-18.560000000000002	DOWN
TTC13	HsaEX0067764	Exon	-18.569999999999993	DOWN
GBA2	HsaEX0027131	Exon	-18.590000000000003	DOWN
PTDSS2	HsaEX0050778	Exon	-18.590000000000003	DOWN
SFI1	HsaEX0057600	Exon	-18.599999999999994	DOWN
IPO13	HsaINT0081501	Intron	-18.61	DOWN
L1CAM	HsaEX0035102	Exon	-18.629999999999995	DOWN
NINL	HsaEX0042942	Exon	-18.69999999999999	DOWN
SLF1	HsaEX1037806	Exon	-18.700000000000003	DOWN
MLLT10	HsaEX0039539	Exon	-18.75	DOWN
FNIP1	HsaEX0026177	Exon	-18.779999999999994	DOWN
RHOT2	HsaEX0053538	Exon	-18.78000000000001	DOWN
AP1G2	HsaEX0004890	Exon	-18.790000000000006	DOWN
OCIAD2	HsaEX0044575	Exon	-18.849999999999994	DOWN
CTD-2201E18.3	HsaINT1009560	Intron	-18.95	DOWN
RP11-6J21.2	HsaEX7000782	Exon	-18.97	DOWN
WDR81	HsaEX0071387	Exon	-18.980000000000004	DOWN
TONSL	HsaINT0113185	Intron	-19.02	DOWN
INTS2	HsaEX0031877	Exon	-19.049999999999997	DOWN
GTF2H3	HsaINT0073289	Intron	-19.08	DOWN
ISOC2	HsaEX0032264	Exon	-19.09	DOWN
CPPED1	HsaEX0017041	Exon	-19.189999999999998	DOWN
HERC2	HsaEX7008355	Exon	-19.199999999999996	DOWN
DHRS3	HsaEX0019535	Exon	-19.269999999999996	DOWN
TTC31	HsaEX0067913	Exon	-19.270000000000003	DOWN
COL7A1	HsaEX6055822	Exon	-19.290000000000006	DOWN
ZFAND1	HsaEX0072582	Exon	-19.299999999999997	DOWN
ZNF638	HsaEX0074096	Exon	-19.349999999999994	DOWN
SVOPL	HsaEX6010756	Exon	-19.35	DOWN
TBC1D19	HsaEX0063804	Exon	-19.370000000000005	DOWN
SNHG20	HsaINT0021514	Intron	-19.370000000000005	DOWN
MUTYH	HsaEX0040815	Exon	-19.42	DOWN
GRAMD1A	HsaEX0028499	Exon	-19.47999999999999	DOWN
IPO8	HsaEX6065763	Exon	-19.479999999999997	DOWN
SELENBP1	HsaEX0057034	Exon	-19.490000000000002	DOWN
PYCR1	HsaEX0051417	Exon	-19.540000000000006	DOWN
EVI5	HsaEX0023373	Exon	-19.569999999999997	DOWN
CELSR1	HsaEX6027313	Exon	-19.590000000000003	DOWN
TMEM181	HsaEX6050200	Exon	-19.590000000000003	DOWN
ACSF2	HsaEX0002049	Exon	-19.6	DOWN
ARHGAP17	HsaEX0005421	Exon	-19.68	DOWN
CH17-189H20.1	HsaEX1008595	Exon	-19.68	DOWN
NSUN4	HsaEX0043957	Exon	-19.75999999999999	DOWN
CCDC134	HsaEX0013001	Exon	-19.78	DOWN
RP11-21L23.3	HsaINT1031916	Intron	-19.86	DOWN
CELSR1	HsaEX0014545	Exon	-19.86999999999999	DOWN
ZCCHC7	HsaEX0072381	Exon	-19.87	DOWN
GAS2L1	HsaEX0027064	Exon	-19.890000000000008	DOWN
PRSS21	HsaEX6041917	Exon	-19.93	DOWN
EPN2	HsaEX0022832	Exon	-19.959999999999994	DOWN
AGFG2	HsaEX0003083	Exon	-20	DOWN
DNAJC18	HsaEX0020312	Exon	-20	DOWN
HERC2P9	HsaEX1016722	Exon	-20	DOWN
MTHFD2L	HsaEX1024450	Exon	-20	DOWN
SLC43A1	HsaINT0153114	Intron	-20	DOWN
SLCO4A1	HsaEX0060115	Exon	-20.080000000000013	DOWN
METTL26	HsaEX0009600	Exon	-20.110000000000003	DOWN
LAMB2	HsaINT1017998	Intron	-20.130000000000003	DOWN
CREB3L2	HsaEX0017174	Exon	-20.13000000000001	DOWN
PILRB	HsaEX0047638	Exon	-20.14	DOWN
LCA5L	HsaEX6006194	Exon	-20.14	DOWN
MLXIP	HsaEX0039598	Exon	-20.159999999999997	DOWN
MLLT6	HsaEX0039578	Exon	-20.17	DOWN
INPPL1	HsaINT0081069	Intron	-20.18	DOWN
AARS2	HsaEX0000165	Exon	-20.189999999999998	DOWN
NEDD1	HsaEX0042403	Exon	-20.230000000000004	DOWN
THAP3	HsaINT0166601	Intron	-20.28	DOWN
SCARA3	HsaEX0056413	Exon	-20.349999999999994	DOWN
ZMIZ2	HsaEX0072865	Exon	-20.349999999999998	DOWN
STARD10	HsaEX0062256	Exon	-20.39	DOWN
TUBGCP6	HsaINT0175468	Intron	-20.39	DOWN
RPS6KL1	HsaINT0143169	Intron	-20.429999999999993	DOWN
C1QTNF1-AS1	HsaEX0001317	Exon	-20.449999999999996	DOWN
SLF1	HsaEX1037808	Exon	-20.450000000000003	DOWN
KIF21A	HsaEX0034511	Exon	-20.629999999999995	DOWN
CTDSPL	HsaEX0017809	Exon	-20.650000000000006	DOWN
HACE1	HsaEX0029199	Exon	-20.689999999999998	DOWN
NIT1	HsaEX0043023	Exon	-20.689999999999998	DOWN
RNF43	HsaEX0054141	Exon	-20.689999999999998	DOWN
TTPAL	HsaEX0068258	Exon	-20.689999999999998	DOWN
TTC28-AS1	HsaEX1042326	Exon	-20.709999999999994	DOWN
THUMPD2	HsaEX0064924	Exon	-20.71	DOWN
L1CAM	HsaEX0035105	Exon	-20.720000000000006	DOWN
LIN7B	HsaEX0035882	Exon	-20.760000000000005	DOWN
MGRN1	HsaEX0039140	Exon	-20.78	DOWN
TM9SF3	HsaINT0167869	Intron	-20.799999999999997	DOWN
MYO1A	HsaEX6067243	Exon	-20.82	DOWN
MIR22HG	HsaEX0009838	Exon	-20.83	DOWN
PRR14	HsaEX1029630	Exon	-20.87	DOWN
CUEDC1	HsaEX0017982	Exon	-20.879999999999995	DOWN
RP11-111M22.3	HsaINT1030366	Intron	-20.89	DOWN
TRIM3	HsaALTD0006777-2/2	Alt. Donor	-20.950000000000003	DOWN
PRRC2B	HsaEX0007675	Exon	-20.980000000000004	DOWN
KLHL17	HsaEX0034772	Exon	-21.02000000000001	DOWN
P3H4	HsaEX1026818	Exon	-21.03	DOWN
KDM2B	HsaEX0033258	Exon	-21.03000000000001	DOWN
INTS1	HsaINT0081148	Intron	-21.049999999999997	DOWN
DOT1L	HsaEX0020764	Exon	-21.11	DOWN
CARMIL2	HsaEX6044426	Exon	-21.14	DOWN
MCRIP2	HsaINT0060647	Intron	-21.15	DOWN
RAB3IL1	HsaEX0051688	Exon	-21.179999999999993	DOWN
PDE10A	HsaEX1027404	Exon	-21.22	DOWN
PYCR1	HsaEX0051418	Exon	-21.270000000000003	DOWN
ZNF45	HsaEX0073721	Exon	-21.310000000000002	DOWN
PTPRS	HsaEX0051217	Exon	-21.319999999999993	DOWN
KIAA1522	HsaEX0034131	Exon	-21.340000000000003	DOWN
RECK	HsaEX0052974	Exon	-21.43	DOWN
DPP7	HsaEX0020853	Exon	-21.430000000000007	DOWN
PPM1M	HsaINT0130485	Intron	-21.439999999999998	DOWN
ZNF862	HsaEX1046516	Exon	-21.44	DOWN
MEIS2	HsaEX0038801	Exon	-21.57	DOWN
SELENOI	HsaEX0022912	Exon	-21.620000000000005	DOWN
PCSK7	HsaEX0046078	Exon	-21.680000000000007	DOWN
FANCE	HsaEX0024780	Exon	-21.69999999999999	DOWN
PILRB	HsaEX0047637	Exon	-21.69999999999999	DOWN
PHKG2	HsaEX0047153	Exon	-21.819999999999993	DOWN
KHK	HsaEX6012435	Exon	-21.83	DOWN
GRAMD1C	HsaEX0028521	Exon	-21.88000000000001	DOWN
NR4A1	HsaEX0043716	Exon	-21.89	DOWN
PPARA	HsaEX0049279	Exon	-21.939999999999998	DOWN
RPL32P3	HsaEX0055507	Exon	-21.939999999999998	DOWN
SLCO4A1	HsaEX0060116	Exon	-21.979999999999997	DOWN
EVI5	HsaEX0023374	Exon	-22.06	DOWN
ESPL1	HsaEX0023172	Exon	-22.069999999999993	DOWN
SEZ6L2	HsaEX0057561	Exon	-22.130000000000003	DOWN
SLC25A1	HsaEX0058961	Exon	-22.130000000000003	DOWN
DMXL1	HsaEX0020035	Exon	-22.13000000000001	DOWN
ABCA5	HsaEX0000275	Exon	-22.2	DOWN
DCAF17	HsaEX0018617	Exon	-22.200000000000003	DOWN
FANCD2	HsaEX0024753	Exon	-22.200000000000003	DOWN
TNFRSF12A	HsaEX0066187	Exon	-22.21	DOWN
SSH1	HsaEX0061848	Exon	-22.22	DOWN
ARHGEF10L	HsaEX0005592	Exon	-22.23	DOWN
ZDHHC9	HsaINT0185307	Intron	-22.32	DOWN
MINK1	HsaINT0103055	Intron	-22.35	DOWN
SCYL3	HsaEX0056692	Exon	-22.380000000000003	DOWN
CUEDC1	HsaEX0017985	Exon	-22.400000000000006	DOWN
ZFAND2B	HsaINT0185368	Intron	-22.439999999999998	DOWN
CENPX	HsaEX0062599	Exon	-22.46	DOWN
ZNF484	HsaINT0187379	Intron	-22.550000000000004	DOWN
IPO8	HsaEX6065762	Exon	-22.570000000000004	DOWN
PALLD	HsaEX0045299	Exon	-22.590000000000003	DOWN
MGAT5B	HsaEX0039112	Exon	-22.699999999999996	DOWN
SLC9A3R2	HsaEX0060040	Exon	-22.700000000000003	DOWN
MOSPD3	HsaINT1023275	Intron	-22.72	DOWN
POLM	HsaALTD0004928-1/3	Alt. Donor	-22.75	DOWN
CSAD	HsaEX0017411	Exon	-22.86	DOWN
NMT2	HsaEX0043213	Exon	-22.86	DOWN
MCM9	HsaEX0038278	Exon	-22.950000000000003	DOWN
FAM13A	HsaEX0024003	Exon	-23.01	DOWN
FHAD1	HsaEX0025723	Exon	-23.069999999999993	DOWN
PPIL6	HsaINT0130321	Intron	-23.08	DOWN
LRRC14	HsaEX0036498	Exon	-23.09	DOWN
SLC26A11	HsaEX0059176	Exon	-23.129999999999995	DOWN
KLHL24	HsaALTD1051628-1/3	Alt. Donor	-23.21	DOWN
DMXL2	HsaEX0020060	Exon	-23.249999999999993	DOWN
NOL3	HsaEX0043287	Exon	-23.260000000000005	DOWN
RAPGEF2	HsaEX0052258	Exon	-23.31000000000001	DOWN
DCAF10	HsaEX0018594	Exon	-23.370000000000005	DOWN
PHRF1	HsaEX0047222	Exon	-23.42	DOWN
MBD5	HsaEX0038085	Exon	-23.439999999999998	DOWN
WDR81	HsaEX0071388	Exon	-23.450000000000003	DOWN
TCP11L1	HsaEX0064248	Exon	-23.53	DOWN
ZNF292	HsaEX0073365	Exon	-23.53	DOWN
FOPNL	HsaEX0009674	Exon	-23.689999999999998	DOWN
RIF1	HsaEX0053616	Exon	-23.699999999999996	DOWN
DIEXF	HsaEX0010094	Exon	-23.75	DOWN
CMTR1	HsaEX0026549	Exon	-23.769999999999996	DOWN
PPP2R2D	HsaEX0049678	Exon	-23.91000000000001	DOWN
SELENBP1	HsaEX0057033	Exon	-23.930000000000003	DOWN
CUL9	HsaINT0043488	Intron	-24.01	DOWN
ADGRL1	HsaEX0036225	Exon	-24.14	DOWN
ZNF519	HsaINT0187510	Intron	-24.180000000000003	DOWN
BIRC2	HsaEX6004317	Exon	-24.28	DOWN
COBL	HsaEX0016150	Exon	-24.349999999999994	DOWN
TRAK1	HsaEX0066867	Exon	-24.450000000000003	DOWN
C11orf80	HsaEX0009078	Exon	-24.5	DOWN
SLC12A9	HsaEX0058654	Exon	-24.510000000000005	DOWN
PDLIM2	HsaEX0046401	Exon	-24.58	DOWN
P2RX6	HsaEX0045094	Exon	-24.96	DOWN
TBRG4	HsaEX0064068	Exon	-24.960000000000008	DOWN
ABCB8	HsaINT0001057	Intron	-25	DOWN
ADGRE5	HsaEX7010347	Exon	-25.019999999999996	DOWN
TTC13	HsaEX0067765	Exon	-25.04	DOWN
METAP1D	HsaEX0001112	Exon	-25.14	DOWN
ARAP1	HsaEX0005276	Exon	-25.239999999999995	DOWN
RWDD3	HsaINT1040748	Intron	-25.3	DOWN
STX18	HsaEX1039465	Exon	-25.400000000000002	DOWN
ZNF142	HsaEX1046497	Exon	-25.409999999999997	DOWN
TPRA1	HsaEX0028383	Exon	-25.519999999999996	DOWN
TANGO2	HsaEX0010603	Exon	-25.559999999999995	DOWN
PTPRS	HsaEX0051218	Exon	-25.58	DOWN
RNF167	HsaEX0053961	Exon	-25.61	DOWN
NR1H3	HsaINT0115536	Intron	-25.71	DOWN
GIGYF1	HsaEX1015513	Exon	-25.75	DOWN
NA	HsaEX0074395	Exon	-25.810000000000002	DOWN
ASTE1	HsaALTD0000522-1/3	Alt. Donor	-25.959999999999994	DOWN
CRELD1	HsaEX0017213	Exon	-25.97	DOWN
SLC29A2	HsaEX0059253	Exon	-26.089999999999996	DOWN
C15orf52	HsaEX0009594	Exon	-26.11	DOWN
ZSWIM4	HsaEX0074589	Exon	-26.11	DOWN
TUBGCP6	HsaEX1042564	Exon	-26.13	DOWN
SIX5	HsaEX0058468	Exon	-26.230000000000004	DOWN
LINC02193	HsaINT1021699	Intron	-26.319999999999993	DOWN
VPS13A	HsaEX0070431	Exon	-26.340000000000003	DOWN
TSC2	HsaEX0067508	Exon	-26.429999999999996	DOWN
PRSS21	HsaEX6041916	Exon	-26.720000000000006	DOWN
ABHD11	HsaEX0000593	Exon	-26.949999999999996	DOWN
MGAT5B	HsaEX0039111	Exon	-26.990000000000002	DOWN
MGA	HsaEX0039071	Exon	-27.029999999999994	DOWN
REEP4	HsaEX0053009	Exon	-27.060000000000002	DOWN
CPNE7	HsaEX0017019	Exon	-27.15	DOWN
PPDPF	HsaEX0049317	Exon	-27.17	DOWN
FSTL3	HsaEX0026508	Exon	-27.25	DOWN
CUL9	HsaEX0018044	Exon	-27.519999999999996	DOWN
SLC12A9	HsaINT0150795	Intron	-27.52	DOWN
HCFC2	HsaINT0074437	Intron	-27.580000000000002	DOWN
EVPL	HsaEX6024932	Exon	-27.590000000000003	DOWN
NUDT22	HsaEX0044178	Exon	-27.65	DOWN
TAF1C	HsaEX0063451	Exon	-27.669999999999995	DOWN
MAPK12	HsaEX0037740	Exon	-27.75	DOWN
DHRS11	HsaEX0019515	Exon	-27.769999999999996	DOWN
EAF2	HsaEX0021441	Exon	-27.840000000000003	DOWN
RP5-1198O20.4	HsaINT1040028	Intron	-28.159999999999997	DOWN
ENO3	HsaEX0022455	Exon	-28.260000000000005	DOWN
PPRC1	HsaEX0049842	Exon	-28.540000000000006	DOWN
CDKAL1	HsaEX0014360	Exon	-28.57	DOWN
TBRG4	HsaINT0164656	Intron	-28.61	DOWN
COL15A1	HsaEX0016326	Exon	-28.760000000000005	DOWN
TMEM62	HsaEX0065900	Exon	-28.769999999999996	DOWN
MLLT6	HsaEX0039577	Exon	-29.010000000000005	DOWN
DGKE	HsaALTD1028132-1/2	Alt. Donor	-29.099999999999994	DOWN
MCIDAS	HsaEX0054981	Exon	-29.289999999999992	DOWN
AP4M1	HsaEX0005008	Exon	-29.349999999999994	DOWN
TMLHE	HsaEX0066039	Exon	-29.359999999999992	DOWN
ACAD10	HsaEX0001732	Exon	-29.409999999999997	DOWN
