GENE	EVENT	AS_TYPE	dPSI_SRRM2_HepG2	direction_SRRM2_HepG2
PCF11	HsaALTA1042155-2/2	Alt. Acceptor	17.040000000000006	UP
CHD3	HsaALTA0001846-1/2	Alt. Acceptor	17.020000000000003	UP
KIF17	HsaALTA0004580-1/3	Alt. Acceptor	17.010000000000005	UP
ADAM11	HsaEX0002277	Exon	17.010000000000005	UP
WDR27	HsaALTA1050787-5/5	Alt. Acceptor	16.990000000000002	UP
GNPNAT1	HsaEX0027917	Exon	16.990000000000002	UP
C5orf42	HsaINT0024357	Intron	16.99	UP
RPL39	HsaALTA1055485-2/2	Alt. Acceptor	16.979999999999997	UP
KANK2	HsaEX0032849	Exon	16.979999999999997	UP
TMEM107	HsaALTD0006587-1/2	Alt. Donor	16.96	UP
ADAMTSL5	HsaALTD1040171-2/3	Alt. Donor	16.96	UP
METTL8	HsaEX0038937	Exon	16.940000000000005	UP
RPS2	HsaALTA1063700-1/3	Alt. Acceptor	16.92	UP
ABCA5	HsaEX0000274	Exon	16.92	UP
PELI3	HsaEX0046569	Exon	16.92	UP
KMT5C	HsaEX0063020	Exon	16.92	UP
KRBOX4	HsaALTD1026142-1/4	Alt. Donor	16.910000000000004	UP
FAM183A	HsaEX0024246	Exon	16.900000000000006	UP
PCF11	HsaALTD1032748-1/2	Alt. Donor	16.89	UP
ABCG2	HsaALTD0000042-1/2	Alt. Donor	16.88000000000001	UP
TPT1-AS1	HsaALTD1035506-2/2	Alt. Donor	16.879999999999995	UP
LMNTD2	HsaALTA1051310-1/2	Alt. Acceptor	16.870000000000005	UP
PPP1R11	HsaEX0049547	Exon	16.869999999999997	UP
PAXIP1	HsaALTD0004595-2/2	Alt. Donor	16.840000000000003	UP
DNM1L	HsaEX0020452	Exon	16.83	UP
PRPF39	HsaEX0050364	Exon	16.82	UP
CCDC144NL-AS1	HsaEX0001357	Exon	16.819999999999993	UP
ZNF266	HsaALTA0009775-1/2	Alt. Acceptor	16.8	UP
MYOM1	HsaEX0041329	Exon	16.790000000000006	UP
MYO9A	HsaINT0109003	Intron	16.779999999999998	UP
ZNF114	HsaEX0073007	Exon	16.770000000000003	UP
TBL1X	HsaEX0064031	Exon	16.769999999999996	UP
NF1	HsaEX0042648	Exon	16.760000000000005	UP
SH3BGRL2	HsaALTA1054882-1/2	Alt. Acceptor	16.75	UP
METTL21B	HsaALTD1016370-2/2	Alt. Donor	16.75	UP
CCDC24	HsaALTA0001572-4/5	Alt. Acceptor	16.730000000000004	UP
CENPI	HsaALTD0001357-2/3	Alt. Donor	16.730000000000004	UP
PAXIP1	HsaALTA0006097-1/2	Alt. Acceptor	16.72	UP
HERC3	HsaEX0029768	Exon	16.710000000000008	UP
C19orf57	HsaEX6093359	Exon	16.709999999999994	UP
MYOM1	HsaEX0041328	Exon	16.700000000000003	UP
TNRC6B	HsaEX0066392	Exon	16.700000000000003	UP
SLC22A31	HsaEX1037237	Exon	16.700000000000003	UP
CD27-AS1	HsaALTD1044503-3/4	Alt. Donor	16.7	UP
RAB29	HsaALTD1052442-2/3	Alt. Donor	16.68	UP
CEACAM19	HsaALTA0001753-2/2	Alt. Acceptor	16.67	UP
CAPN3	HsaALTA1063912-1/2	Alt. Acceptor	16.67	UP
SZT2	HsaALTD1042714-1/2	Alt. Donor	16.67	UP
NA	HsaEX0013132	Exon	16.67	UP
CCDC122	HsaINT1006508	Intron	16.67	UP
ARHGEF26	HsaALTA0000631-1/2	Alt. Acceptor	16.660000000000004	UP
TMSB4Y	HsaALTA1036726-1/2	Alt. Acceptor	16.659999999999997	UP
RPS25	HsaALTD1014865-1/4	Alt. Donor	16.659999999999997	UP
ZNF114	HsaALTA1048716-1/2	Alt. Acceptor	16.650000000000006	UP
APBB2	HsaALTA0000542-1/2	Alt. Acceptor	16.65	UP
CUTC	HsaEX0018058	Exon	16.64	UP
TOGARAM1	HsaINT0060394	Intron	16.64	UP
TMEM150B	HsaALTD1038475-1/2	Alt. Donor	16.63000000000001	UP
PDE4DIP	HsaINT1026465	Intron	16.63	UP
HMBOX1	HsaALTA0004037-2/3	Alt. Acceptor	16.619999999999997	UP
NIN	HsaEX0042916	Exon	16.590000000000003	UP
ERBB2	HsaALTA1031352-1/3	Alt. Acceptor	16.59	UP
DYRK1B	HsaINT0053333	Intron	16.59	UP
UVSSA	HsaINT0086950	Intron	16.580000000000002	UP
C12orf45	HsaALTA1035272-1/2	Alt. Acceptor	16.57	UP
C14orf159	HsaEX0009424	Exon	16.57	UP
LSM12	HsaALTD1030558-6/8	Alt. Donor	16.56	UP
C1RL-AS1	HsaINT0093703	Intron	16.55	UP
SH3BGRL2	HsaALTD1042829-2/2	Alt. Donor	16.549999999999997	UP
TRIM52-AS1	HsaALTD1047152-1/2	Alt. Donor	16.549999999999997	UP
NOXA1	HsaINT0115015	Intron	16.54	UP
OSBPL9	HsaEX0044962	Exon	16.509999999999998	UP
BRCC3	HsaALTA0000974-2/2	Alt. Acceptor	16.5	UP
HUWE1	HsaALTD1005862-1/2	Alt. Donor	16.490000000000002	UP
CSPP1	HsaEX0017589	Exon	16.479999999999997	UP
DNHD1	HsaEX0020434	Exon	16.47	UP
OGT	HsaEX0044702	Exon	16.47	UP
RAD54B	HsaEX0051932	Exon	16.46	UP
AMIGO1	HsaALTA0000403-2/2	Alt. Acceptor	16.450000000000003	UP
GIN1	HsaALTD1025702-4/4	Alt. Donor	16.450000000000003	UP
MAGI2	HsaEX6008640	Exon	16.45	UP
IQCH-AS1	HsaEX1017864	Exon	16.449999999999996	UP
CCT6B	HsaEX0013728	Exon	16.439999999999998	UP
MYO7A	HsaEX0041260	Exon	16.439999999999998	UP
FANCM	HsaINT0061927	Intron	16.439999999999998	UP
FASTKD3	HsaALTA0003247-2/3	Alt. Acceptor	16.43	UP
CTDSPL	HsaEX0017812	Exon	16.43	UP
FAM45A	HsaALTA0003181-1/2	Alt. Acceptor	16.41	UP
MCM8	HsaALTD0003828-1/2	Alt. Donor	16.41	UP
DYRK1B	HsaINT0053330	Intron	16.409999999999997	UP
NFAT5	HsaINT0112982	Intron	16.409999999999997	UP
KLHL24	HsaEX0034822	Exon	16.400000000000006	UP
CCDC18	HsaEX0013154	Exon	16.39999999999999	UP
APOA5	HsaALTA1015655-3/3	Alt. Acceptor	16.39	UP
SLC35G2	HsaALTD0006634-2/3	Alt. Donor	16.380000000000003	UP
MROH8	HsaEX0010428	Exon	16.369999999999997	UP
USP16	HsaALTA1037358-1/3	Alt. Acceptor	16.36	UP
TRADD	HsaEX0066788	Exon	16.36	UP
VPS13B	HsaALTA1025449-3/3	Alt. Acceptor	16.35	UP
BCAS4	HsaEX0007851	Exon	16.35	UP
EIF4B	HsaALTA1004036-2/2	Alt. Acceptor	16.33	UP
CNOT1	HsaEX0015994	Exon	16.33	UP
CNOT2	HsaEX0016018	Exon	16.33	UP
SLC39A14	HsaEX0059639	Exon	16.32	UP
AHSA2	HsaALTA0000308-1/3	Alt. Acceptor	16.310000000000002	UP
ZNF816	HsaALTD1053834-2/2	Alt. Donor	16.31	UP
SOX13	HsaALTA1032534-3/3	Alt. Acceptor	16.299999999999997	UP
DOPEY1	HsaEX0020722	Exon	16.299999999999997	UP
MOV10	HsaALTA0005301-2/2	Alt. Acceptor	16.28	UP
RP11-480I12.9	HsaEX0054908	Exon	16.28	UP
CEP162	HsaALTA1027015-3/3	Alt. Acceptor	16.269999999999996	UP
CAPN12	HsaINT0027388	Intron	16.269999999999996	UP
NREP	HsaALTD0001020-1/2	Alt. Donor	16.25	UP
SFI1	HsaEX0057599	Exon	16.24000000000001	UP
LINC01138	HsaEX1020605	Exon	16.24	UP
PHF11	HsaEX0046937	Exon	16.239999999999995	UP
RORA	HsaALTA1005062-1/2	Alt. Acceptor	16.22	UP
AGBL2	HsaALTD1032974-2/2	Alt. Donor	16.22	UP
RP13-941N14.1	HsaEX1035146	Exon	16.22	UP
RC3H1	HsaALTA0007083-1/4	Alt. Acceptor	16.21	UP
SYNRG	HsaEX0063233	Exon	16.200000000000003	UP
LINC01572	HsaALTA1061703-2/2	Alt. Acceptor	16.199999999999996	UP
CTAGE5	HsaEX0017658	Exon	16.19	UP
ZNF202	HsaALTA1042684-2/3	Alt. Acceptor	16.18	UP
HNF1B	HsaALTA1062868-1/2	Alt. Acceptor	16.18	UP
VWA7	HsaEX6046321	Exon	16.17	UP
NDUFB1	HsaEX0042305	Exon	16.159999999999997	UP
ZNF7	HsaALTA0009895-3/7	Alt. Acceptor	16.14	UP
MTUS1	HsaALTD1018259-1/3	Alt. Donor	16.14	UP
DENR	HsaALTD1023243-2/2	Alt. Donor	16.14	UP
HSBP1L1	HsaALTA0004104-1/2	Alt. Acceptor	16.130000000000003	UP
ADSSL1	HsaINT0005042	Intron	16.13	UP
FAM208B	HsaEX0008812	Exon	16.119999999999997	UP
RALGPS2	HsaEX0052103	Exon	16.119999999999997	UP
CAPN12	HsaINT0027391	Intron	16.119999999999997	UP
SLC23A1	HsaEX0058919	Exon	16.11	UP
ZNF30	HsaEX0073383	Exon	16.11	UP
ZNF75D	HsaALTA1051662-1/3	Alt. Acceptor	16.1	UP
ZNF573	HsaEX0073982	Exon	16.080000000000002	UP
USHBP1	HsaALTA1024058-3/3	Alt. Acceptor	16.08	UP
AC091729.9	HsaALTA1058115-1/2	Alt. Acceptor	16.07	UP
SLC9A5	HsaINT0154230	Intron	16.07	UP
NOD1	HsaEX0043251	Exon	16.059999999999988	UP
ZFP41	HsaALTD1054177-1/2	Alt. Donor	16.050000000000004	UP
PTPDC1	HsaEX0050913	Exon	16.05	UP
CCDC66	HsaALTA1049417-1/3	Alt. Acceptor	16.049999999999997	UP
CCDC163	HsaEX0013139	Exon	16.049999999999997	UP
ZFAND4	HsaEX0004718	Exon	16.039999999999992	UP
SYNE1	HsaALTD0006332-1/2	Alt. Donor	16.03	UP
P3H4	HsaALTD1052187-2/2	Alt. Donor	16.03	UP
PABPC1L	HsaEX0045158	Exon	16.03	UP
SORBS1	HsaEX0060979	Exon	16.03	UP
OSBPL3	HsaEX6007529	Exon	16.009999999999998	UP
KLHDC9	HsaALTA0004611-1/4	Alt. Acceptor	16	UP
PDE4C	HsaEX0046221	Exon	16	UP
ZNF592	HsaEX1045281	Exon	16	UP
KLHL17	HsaALTD0003500-2/2	Alt. Donor	15.990000000000002	UP
LINC01146	HsaEX0000068	Exon	15.990000000000002	UP
ATG16L2	HsaEX0006585	Exon	15.99	UP
TMPRSS6	HsaEX6026679	Exon	15.980000000000004	UP
MDM1	HsaALTA1016161-2/2	Alt. Acceptor	15.969999999999999	UP
NOXO1	HsaALTA1053125-1/2	Alt. Acceptor	15.969999999999999	UP
MDN1	HsaINT0101144	Intron	15.969999999999999	UP
SLC4A7	HsaALTD1053156-2/2	Alt. Donor	15.96	UP
USP54	HsaEX0069997	Exon	15.959999999999994	UP
MYO18A	HsaALTD1054206-3/3	Alt. Donor	15.950000000000003	UP
PHF7	HsaINT1026815	Intron	15.950000000000001	UP
PTGES3	HsaEX7007205	Exon	15.949999999999996	UP
DMPK	HsaALTA0002543-2/2	Alt. Acceptor	15.940000000000005	UP
AC009120.6	HsaEX1001804	Exon	15.940000000000001	UP
ZNF2	HsaALTD1049672-2/2	Alt. Donor	15.930000000000003	UP
POLL	HsaEX0048972	Exon	15.929999999999993	UP
RAP1GAP2	HsaALTA1025264-2/2	Alt. Acceptor	15.920000000000002	UP
UNC5CL	HsaEX0069390	Exon	15.919999999999995	UP
CCDC78	HsaALTA0001591-2/4	Alt. Acceptor	15.91	UP
SIK3	HsaALTA0007805-1/3	Alt. Acceptor	15.91	UP
CHD9	HsaEX0015128	Exon	15.909999999999998	UP
JMY	HsaALTA1035872-1/5	Alt. Acceptor	15.9	UP
C15orf39	HsaALTD0000834-1/3	Alt. Donor	15.899999999999999	UP
ZGRF1	HsaEX0011001	Exon	15.889999999999999	UP
ZNF821	HsaALTD1008971-1/2	Alt. Donor	15.880000000000003	UP
CLHC1	HsaEX0010742	Exon	15.879999999999995	UP
LINC01021	HsaEX0054893	Exon	15.850000000000009	UP
EEFSEC	HsaEX0021648	Exon	15.850000000000001	UP
NFIB	HsaEX0042735	Exon	15.849999999999998	UP
E2F8	HsaALTD1051037-1/2	Alt. Donor	15.840000000000003	UP
TRPC1	HsaEX0067367	Exon	15.840000000000003	UP
MACF1	HsaEX0037162	Exon	15.829999999999998	UP
ANO7	HsaINT0009481	Intron	15.829999999999991	UP
PICALM	HsaEX0047352	Exon	15.810000000000002	UP
PWWP2A	HsaEX0051372	Exon	15.800000000000004	UP
SIX4	HsaEX1037035	Exon	15.799999999999999	UP
KIF27	HsaEX0034569	Exon	15.789999999999992	UP
CENPL	HsaALTA1020334-2/2	Alt. Acceptor	15.769999999999996	UP
VPS13B	HsaEX0070477	Exon	15.769999999999996	UP
PELI3	HsaEX6003181	Exon	15.769999999999996	UP
RP11-798G7.7	HsaINT1038250	Intron	15.75	UP
LBHD1	HsaEX0008996	Exon	15.739999999999995	UP
NAIP	HsaINT1024419	Intron	15.73	UP
RALGDS	HsaALTA1038839-1/2	Alt. Acceptor	15.72	UP
NFAT5	HsaEX0042680	Exon	15.719999999999999	UP
ZNF517	HsaEX0073838	Exon	15.710000000000008	UP
RP11-77K12.1	HsaEX1034764	Exon	15.71	UP
BAZ2A	HsaEX0007722	Exon	15.709999999999994	UP
VMAC	HsaALTD1040785-1/3	Alt. Donor	15.700000000000003	UP
NDUFC1	HsaEX0042315	Exon	15.700000000000001	UP
DICER1-AS1	HsaALTA1058971-1/2	Alt. Acceptor	15.69	UP
TRMT2B	HsaALTD1053537-1/2	Alt. Donor	15.689999999999998	UP
CTDSPL	HsaEX6055039	Exon	15.679999999999993	UP
PACRGL	HsaEX0045173	Exon	15.670000000000002	UP
TRIM66	HsaEX6000680	Exon	15.67	UP
DLG1	HsaEX0019879	Exon	15.660000000000004	UP
N4BP2L2	HsaEX1024989	Exon	15.66	UP
PLPPR2	HsaALTA0000098-1/3	Alt. Acceptor	15.65	UP
SLC25A23	HsaEX0059042	Exon	15.64	UP
SEC31A	HsaEX0056948	Exon	15.629999999999999	UP
CCDC189	HsaALTA1052837-2/2	Alt. Acceptor	15.62	UP
NADK2	HsaEX0011115	Exon	15.62	UP
HK2	HsaALTD1029809-1/2	Alt. Donor	15.610000000000001	UP
PHGDH	HsaALTD1006811-3/3	Alt. Donor	15.599999999999994	UP
L1CAM	HsaEX0035105	Exon	15.590000000000003	UP
UBC	HsaALTA1035209-1/3	Alt. Acceptor	15.589999999999996	UP
MFF	HsaEX0038967	Exon	15.58	UP
RP11-320M2.1	HsaINT1033177	Intron	15.569999999999993	UP
MLXIP	HsaEX0039597	Exon	15.560000000000002	UP
AC113189.5	HsaALTA1058650-1/2	Alt. Acceptor	15.559999999999999	UP
ATP8A1	HsaEX0007059	Exon	15.540000000000006	UP
NLRC5	HsaALTA0005744-1/2	Alt. Acceptor	15.54	UP
ZNF891	HsaALTD1053841-3/3	Alt. Donor	15.530000000000001	UP
ABCG5	HsaALTA1029132-1/2	Alt. Acceptor	15.529999999999994	UP
LINC01909	HsaEX1021531	Exon	15.520000000000003	UP
ALOX12-AS1	HsaEX0001233	Exon	15.510000000000005	UP
EYS	HsaEX6047988	Exon	15.510000000000005	UP
EIF4B	HsaALTA1004035-2/3	Alt. Acceptor	15.510000000000002	UP
POLM	HsaEX0048986	Exon	15.509999999999998	UP
ADPGK	HsaEX0002848	Exon	15.5	UP
ZSCAN5A	HsaALTA1025027-1/2	Alt. Acceptor	15.489999999999995	UP
ZNF669	HsaINT0188056	Intron	15.479999999999997	UP
NFAT5	HsaALTA0005698-1/2	Alt. Acceptor	15.460000000000004	UP
ACADVL	HsaALTD1004123-3/3	Alt. Donor	15.46	UP
NKTR	HsaEX0043065	Exon	15.459999999999997	UP
ZSCAN32	HsaEX0073675	Exon	15.459999999999994	UP
CBARP	HsaALTA0001121-1/2	Alt. Acceptor	15.450000000000003	UP
PLEKHM2	HsaEX0048420	Exon	15.440000000000005	UP
RNF146	HsaALTD0005440-3/3	Alt. Donor	15.439999999999998	UP
ANKRD12	HsaEX0004293	Exon	15.43	UP
SNHG17	HsaEX0055260	Exon	15.43	UP
ODF3B	HsaINT0117861	Intron	15.43	UP
PIWIL2	HsaEX0047787	Exon	15.420000000000002	UP
CHFR	HsaALTA1005619-1/5	Alt. Acceptor	15.410000000000004	UP
ENAH	HsaEX0022428	Exon	15.400000000000002	UP
FTH1	HsaALTA1043927-5/5	Alt. Acceptor	15.4	UP
THRB	HsaEX0064891	Exon	15.399999999999999	UP
C19orf68	HsaALTD1040028-1/5	Alt. Donor	15.389999999999997	UP
SUCO	HsaEX0010348	Exon	15.380000000000003	UP
PDAP1	HsaALTA1013845-2/3	Alt. Acceptor	15.38	UP
CCDC112	HsaALTD1032092-1/2	Alt. Donor	15.38	UP
HFE	HsaALTA0003979-2/2	Alt. Acceptor	15.379999999999995	UP
DFNB59	HsaALTD1043547-2/2	Alt. Donor	15.379999999999995	UP
AC074391.1	HsaEX1002150	Exon	15.379999999999995	UP
SLC50A1	HsaALTD0005270-2/3	Alt. Donor	15.370000000000005	UP
JAK2	HsaALTD1007131-2/2	Alt. Donor	15.370000000000005	UP
KIAA2026	HsaEX0034347	Exon	15.370000000000005	UP
XPO4	HsaEX0071798	Exon	15.36999999999999	UP
GPT	HsaALTA1043689-2/3	Alt. Acceptor	15.350000000000009	UP
AKAP13	HsaALTA0000321-1/3	Alt. Acceptor	15.350000000000001	UP
DUSP22	HsaEX0021215	Exon	15.339999999999996	UP
UNC5CL	HsaALTA1021952-1/2	Alt. Acceptor	15.330000000000002	UP
SLC25A47	HsaALTA0007895-1/2	Alt. Acceptor	15.329999999999998	UP
SCNN1A	HsaEX0056598	Exon	15.319999999999993	UP
EEF1D	HsaALTA1012715-2/2	Alt. Acceptor	15.3	UP
ZNF445	HsaEX1045121	Exon	15.3	UP
PLEKHH1	HsaINT0127420	Intron	15.3	UP
CCNL1	HsaALTD0001244-3/3	Alt. Donor	15.299999999999997	UP
DHRS12	HsaEX0019518	Exon	15.299999999999997	UP
PGGHG	HsaALTA0000770-3/7	Alt. Acceptor	15.289999999999992	UP
FAM110A	HsaALTA0003087-2/2	Alt. Acceptor	15.280000000000001	UP
SPATA5	HsaALTA1033200-2/3	Alt. Acceptor	15.279999999999998	UP
ZNF224	HsaINT0186490	Intron	15.260000000000005	UP
TSNARE1	HsaALTA0009063-1/2	Alt. Acceptor	15.260000000000002	UP
LRRC75A-AS1	HsaALTA1047515-2/2	Alt. Acceptor	15.260000000000002	UP
DDR2	HsaALTD1030974-2/2	Alt. Donor	15.25	UP
RP11-25H12.1	HsaEX1032671	Exon	15.24	UP
HHLA3	HsaALTD1042293-2/2	Alt. Donor	15.219999999999999	UP
RASA2	HsaINT0137617	Intron	15.209999999999999	UP
LINC00959	HsaEX0054944	Exon	15.2	UP
KANTR	HsaEX1018259	Exon	15.18	UP
TGFBR3L	HsaEX7010311	Exon	15.159999999999997	UP
TPM3	HsaALTD1053499-1/5	Alt. Donor	15.150000000000002	UP
ULK4	HsaEX1042949	Exon	15.149999999999999	UP
CTRL	HsaINT0043016	Intron	15.149999999999991	UP
ATF7IP	HsaALTA1045904-2/2	Alt. Acceptor	15.14	UP
IFI6	HsaALTD0003187-1/3	Alt. Donor	15.14	UP
NR2F1-AS1	HsaALTA1059152-2/2	Alt. Acceptor	15.139999999999986	UP
HSPD1	HsaALTA1032776-4/4	Alt. Acceptor	15.129999999999999	UP
SIPA1L1	HsaALTD1042275-5/5	Alt. Donor	15.129999999999999	UP
NRF1	HsaALTA0005830-2/2	Alt. Acceptor	15.129999999999995	UP
MICAL1	HsaALTA1027258-2/4	Alt. Acceptor	15.11	UP
WDR53	HsaALTD0007199-2/3	Alt. Donor	15.11	UP
PPP4R3A	HsaALTD0006079-2/2	Alt. Donor	15.090000000000003	UP
MYBPHL	HsaALTD1044695-2/2	Alt. Donor	15.090000000000003	UP
CLCN5	HsaEX1008891	Exon	15.089999999999996	UP
POLM	HsaALTA0006516-2/4	Alt. Acceptor	15.079999999999998	UP
ZNF512B	HsaALTD1053798-1/2	Alt. Donor	15.079999999999998	UP
ULK4	HsaALTA1044005-1/3	Alt. Acceptor	15.04	UP
HEY1	HsaALTD0003020-2/3	Alt. Donor	15.04	UP
C19orf57	HsaINT0021822	Intron	15.04	UP
IL17RB	HsaEX0031359	Exon	15.019999999999996	UP
TMEM218	HsaALTD1053437-2/2	Alt. Donor	15.009999999999991	UP
WARS	HsaEX0070830	Exon	-15.009999999999998	DOWN
DHRS1	HsaINT0047507	Intron	-15.01	DOWN
CRAMP1	HsaEX0017131	Exon	-15.010000000000005	DOWN
RP11-34P13.8	HsaINT1033553	Intron	-15.020000000000003	DOWN
WDR45	HsaEX0071141	Exon	-15.03	DOWN
CSGALNACT2	HsaEX0017480	Exon	-15.030000000000001	DOWN
SIN3A	HsaEX0058360	Exon	-15.04	DOWN
SPAG4	HsaEX0061161	Exon	-15.049999999999997	DOWN
HID1	HsaINT0021278	Intron	-15.049999999999999	DOWN
PISD	HsaEX0047732	Exon	-15.060000000000002	DOWN
MIA3	HsaEX0039156	Exon	-15.069999999999993	DOWN
RHBG	HsaINT0140409	Intron	-15.069999999999997	DOWN
KIAA1147	HsaINT0086493	Intron	-15.07	DOWN
NOXO1	HsaINT1025188	Intron	-15.07	DOWN
ZNF512B	HsaALTD1053798-2/2	Alt. Donor	-15.079999999999998	DOWN
TMEM161B-AS1	HsaINT1044447	Intron	-15.080000000000002	DOWN
PPP4R3A	HsaALTD0006079-1/2	Alt. Donor	-15.090000000000003	DOWN
TPM3	HsaALTA1032340-3/3	Alt. Acceptor	-15.11	DOWN
MICALL2	HsaINT0102929	Intron	-15.11	DOWN
ZNF764	HsaINT1047671	Intron	-15.11	DOWN
SOX13	HsaALTA1032534-2/3	Alt. Acceptor	-15.119999999999997	DOWN
LYRM1	HsaEX0037076	Exon	-15.129999999999995	DOWN
RHBDL1	HsaINT0140384	Intron	-15.129999999999999	DOWN
URI1	HsaEX0009929	Exon	-15.130000000000003	DOWN
ZNF234	HsaEX0073218	Exon	-15.14	DOWN
MALRD1	HsaEX6087776	Exon	-15.14	DOWN
PQLC2	HsaINT0131229	Intron	-15.159999999999997	DOWN
TRIP12	HsaINT0172710	Intron	-15.159999999999997	DOWN
MICALL2	HsaINT0102924	Intron	-15.159999999999998	DOWN
TATDN3	HsaEX1040040	Exon	-15.17	DOWN
RHEBL1	HsaINT0140457	Intron	-15.18	DOWN
BRSK2	HsaINT0018737	Intron	-15.180000000000001	DOWN
DDHD1	HsaINT0045820	Intron	-15.19	DOWN
PIK3IP1	HsaINT0125108	Intron	-15.2	DOWN
XRCC3	HsaINT0183879	Intron	-15.21	DOWN
PRPF40B	HsaINT0132652	Intron	-15.239999999999998	DOWN
PDE4DIP	HsaEX1027469	Exon	-15.24	DOWN
SEMA4F	HsaEX0057120	Exon	-15.240000000000002	DOWN
PHKG2	HsaINT0124277	Intron	-15.240000000000002	DOWN
CLDN15	HsaINT0036066	Intron	-15.249999999999996	DOWN
OSBPL7	HsaINT0118715	Intron	-15.259999999999998	DOWN
RP11-296I10.3	HsaINT1032816	Intron	-15.269999999999996	DOWN
ACAD8	HsaINT0002129	Intron	-15.280000000000001	DOWN
ZBTB25	HsaEX1044405	Exon	-15.29	DOWN
RAP1GAP	HsaEX0052208	Exon	-15.300000000000004	DOWN
ITPR1	HsaEX6054151	Exon	-15.329999999999998	DOWN
ZNF613	HsaEX1045318	Exon	-15.33999999999999	DOWN
PLEKHG3	HsaINT0127311	Intron	-15.34	DOWN
NEXN	HsaEX0042625	Exon	-15.349999999999994	DOWN
CDH1	HsaINT0031905	Intron	-15.349999999999998	DOWN
AC091729.9	HsaEX0001376	Exon	-15.379999999999995	DOWN
ATP6V1B1	HsaEX0006992	Exon	-15.379999999999995	DOWN
CNTRL	HsaEX0014653	Exon	-15.379999999999995	DOWN
TRIM2	HsaINT1045173	Intron	-15.38	DOWN
PPFIBP1	HsaEX0049370	Exon	-15.389999999999993	DOWN
MEGF8	HsaEX0038767	Exon	-15.39	DOWN
RP4-665J23.1	HsaEX0055275	Exon	-15.39	DOWN
ATP5S	HsaINT0015024	Intron	-15.39	DOWN
MAP3K6	HsaINT0099224	Intron	-15.4	DOWN
ACAD10	HsaINT0002093	Intron	-15.409999999999998	DOWN
LENG8	HsaINT0091317	Intron	-15.410000000000004	DOWN
SLC26A10	HsaINT0151931	Intron	-15.420000000000002	DOWN
APBA2	HsaEX0005041	Exon	-15.43	DOWN
METTL21B	HsaEX0023848	Exon	-15.43	DOWN
RP11-798K3.2	HsaINT1038255	Intron	-15.43	DOWN
ENGASE	HsaINT0056255	Intron	-15.439999999999998	DOWN
ZC3H10	HsaINT0184705	Intron	-15.439999999999998	DOWN
SVIL-AS1	HsaEX0054985	Exon	-15.449999999999989	DOWN
ACADVL	HsaALTD1004123-2/3	Alt. Donor	-15.449999999999996	DOWN
PLXNB3	HsaINT0128127	Intron	-15.45	DOWN
SLC25A47	HsaINT1041885	Intron	-15.45	DOWN
PFKL	HsaEX0046742	Exon	-15.459999999999999	DOWN
ARID4B	HsaINT0012297	Intron	-15.46	DOWN
KRTCAP3	HsaINT0089747	Intron	-15.469999999999999	DOWN
SLC30A3	HsaINT0152400	Intron	-15.47	DOWN
FAM13A	HsaEX6085382	Exon	-15.480000000000004	DOWN
ZSCAN5A	HsaALTA1025027-2/2	Alt. Acceptor	-15.489999999999995	DOWN
GLI4	HsaEX0027618	Exon	-15.49	DOWN
B4GALNT3	HsaINT0016219	Intron	-15.49	DOWN
NKTR	HsaINT0113809	Intron	-15.509999999999998	DOWN
CELSR3	HsaINT0033241	Intron	-15.51	DOWN
AC090616.2	HsaINT1002034	Intron	-15.52	DOWN
VWA7	HsaINT1046482	Intron	-15.52	DOWN
ABCG5	HsaALTA1029132-2/2	Alt. Acceptor	-15.529999999999998	DOWN
SERPINA1	HsaINT1041309	Intron	-15.529999999999998	DOWN
ZBTB7B	HsaINT0184688	Intron	-15.530000000000001	DOWN
ZBED5	HsaINT1047053	Intron	-15.530000000000001	DOWN
STAP2	HsaINT1043139	Intron	-15.539999999999992	DOWN
ITFG2	HsaINT0082254	Intron	-15.54	DOWN
RHEBL1	HsaINT0140456	Intron	-15.549999999999999	DOWN
SDCBP2	HsaINT1041078	Intron	-15.56	DOWN
ZNF841	HsaINT1047699	Intron	-15.569999999999993	DOWN
KIAA1671	HsaEX0034230	Exon	-15.579999999999998	DOWN
OFD1	HsaEX0044659	Exon	-15.579999999999998	DOWN
IDUA	HsaINT0078859	Intron	-15.58	DOWN
NPR2	HsaINT0115412	Intron	-15.580000000000002	DOWN
RAB24	HsaINT0136031	Intron	-15.599999999999998	DOWN
PAPD4	HsaINT0120066	Intron	-15.61	DOWN
LINC01137	HsaINT1019475	Intron	-15.61	DOWN
FADS3	HsaINT0059339	Intron	-15.619999999999997	DOWN
QRICH2	HsaINT0135781	Intron	-15.619999999999997	DOWN
NOD1	HsaEX0043257	Exon	-15.620000000000005	DOWN
ZMYM5	HsaEX0072922	Exon	-15.629999999999995	DOWN
TOP3B	HsaINT0170965	Intron	-15.63	DOWN
TDG	HsaINT1043923	Intron	-15.630000000000003	DOWN
CEP128	HsaEX0009402	Exon	-15.64	DOWN
N4BP2L1	HsaEX0041431	Exon	-15.64	DOWN
SOAT2	HsaEX6066770	Exon	-15.649999999999999	DOWN
KIAA1324L	HsaEX0034028	Exon	-15.650000000000006	DOWN
NOXA1	HsaINT0115007	Intron	-15.650000000000006	DOWN
VAMP2	HsaINT0179812	Intron	-15.669999999999998	DOWN
ACTR3B	HsaEX0002174	Exon	-15.670000000000002	DOWN
